comments,date,name
"
البيع و شرا ههه...الكرة فقدت بريقها ملي ولات فيها صفقات ظخمة و خيالية ... ملي تيولي اللعاب تيدير التامين لرجليه مابقات كرة ... ولا البيع الشرا و رونالدو و ميسي ... الريال و البرصا ... و مشات البطولة المغربية و تقاداو المشجعين الغير المخربين ... لنرقى بكرتنا المغربية و بجمهورنا العزيز
",الأحد 01 شتنبر 2019 - 02:15,<strong>med.kech</strong>
"
الله يعطينا زهرك اسي نيمار ، تتصور الفلوس صحيحة اوملعبت حتى ماتش ... هذا هو النزق ديال كرة القدم
",الأحد 01 شتنبر 2019 - 02:37,
"
لا فرق بين نيمار و بنحليب ولا فرق بين الزمامره و الرجاء ولا فرق بين اليابان و اليمن الله ارزق غير الصحه و السلامة ،
",الأحد 01 شتنبر 2019 - 04:48,
"
مغامرة غير محسوبة العواقب قام بها هذا المتهور قبل عامين من اجل اموال القطريين لكن يتبين ان المال ليس كل شيء فالأهم هي الاضواء والشهرة والمنافسة القوية هذا لم يجده في بطولة فريق واحد هو فريق اموال قطر الباريسي الذي يلعب وحده في بطولة مهترءة بفرق ضعيفة رغم التطبيل والتهليل الإعلامي والنفخ وجد نفسه يعاني من روتين قاتل بدون منافسة وتنافس وتشويق وآفاق لانه تبين ان فريق اموال قطر من الصعب جدا ان يحصل على بطولة اوروبية وفشل مشروع قطر !!
وعليه لم يبق لهذا اللاعب اَي سبب للبقاء في باريس رغم الراتب الخيالي !!
الاموال لا تجلب السعادة
",الأحد 01 شتنبر 2019 - 09:01,<strong>غيلان قدور </strong>
"
رأيي:
يقول صاحب التعليق رقم1:(نيمار أغلى صفقة لكنني أراه أبخس لاعب على مر التاريخ من حيث الكرامة و المروؤة و حبه للمال حبا جما...)...ان رايك صحيح...فالطمع والجشع للمال كان له ثمنه على اللاعب...كان يعتقد بأن انتقاله إلى باريس سيجعله يفوز بعصبة الابطال ويصبح اللاعب رقم1في العالم...وعندما رأى بأن بقاءه هناك لن يحقق له حلمه قرر العودة للبارسا... هو لا يعرف ربما بأن الكاطلان غير مستعدين لدفع الملايين التي طالب بها الفريق الفرنسي مقابل عودته لفريقه الذي يتوفر على ترسانة من اللاعبين اليدين اذا تم توظيفهم بشكل جيد من طرف المدرب فيامكانهم تحقيق نتائج جيدة لفريقه رغم البداية المتعثرة والتي تشبه إلى حد ما بداية موسم:2009/2008حيث خسر المقابلة الأولى ضد نومانسيا او سالامنكا خارج ملعبه وتعادل مع سانطندير داخل ملعبه وفي المقابلة الثالثة انتصر بخمسة أهداف على خيخون خارج ملعبه ومنذ تلك المقابلة انطلق قطار الانتصارات فحصد ستة القاب كاملة: البطولة والكأس وعصبة الابطال وكأس العالم للأندية والسوبر الاسباني والاوروبي.نيمار مثله مثل اغلب اللاعبين البرازيليين:الغرور وحب المال والعربدة رغم انه لاعب عادي جدا.
",الأحد 01 شتنبر 2019 - 12:25,
"
جماهير الخور عن اي جمهور تتحدتون قطر تعرف عزوف الجماهير عن المﻻعب الى درجة الدخول باامجان + مبلغ مالي لتحفيز الجماهير لدخول اامﻻعب اما عن الﻻعب المغربي حمودان فهو فعﻻ ﻻعب متميز و يستحق اﻻعب في بطولة قوية
",الأحد 01 شتنبر 2019 - 13:10,<strong>مومو</strong>
"
اضع بعض الحروف ارق من الظل بل ارق من خيوط العنكبوت تحت ظل هد ا الخبر السينمائي تحليل اونقول شرح بلغة الفن لازالت السينما تشق طريقها وتحكي عن الصور المسلية والصور الممتعة والصور المرتبطة بالاحداث الواقعية فهده لاخيرة تكلف السينما ميزانية بغض النظر عن الدين سيقومون بتأدية لادوار بين قوسين من دكاء السينما وهي مثل المسرح انها تصنع فيلما من اشخاص لايتجاوزون عددهم اصابع اليد فنحن شاهدنا اكثر من فيلم داخل بيت واسع التصوير داخلي غير خارجي وممكن ان نقول فندق انها السينما وما ادراك شكرا للمنبر واحتراماتي للمخرجين السينمائيين
",الأحد 01 شتنبر 2019 - 12:15,<strong>balli_mohamed</strong>
"
انه فيلم مثير و يستحق المشاهدة لقد قمت بتحميله عبر torrent و ما جعلني اتشوق مرة ثانية لمشاهدته هو السناريو المحبوك action dramatique بطريقة احترافية خصوصا في مرحلة ما يسمى ب les peripeties.
",الأحد 01 شتنبر 2019 - 13:43,
"
الامر طبيعي جدا ، زمان الظلم والاستبداد انتهى ، الحكم الى الطبيعة ، انتهت الانظمة الديمقراطية ، الديمقراطية اليوم مجرد شعار ، الطبيعة بدأت تدافع عن نفسها ، انتقلنا من العلوم التجريبية الى العلوم الطبيعية .
",الأحد 01 شتنبر 2019 - 10:48,<strong>مولاي الحسين مكاوي</strong>
"
يا ربي تشوف من حال هاد المرضى لتصفية الكلي رآه كيتعدبو فهاد لبلاد لكحلة انا أختي توفية بسبب بعد مركز التصفية
",الأحد 01 شتنبر 2019 - 08:05,<strong>abdo</strong>
"
أموال تصرف في المهرجانات في غياب تغطية صحية تليق بتسمية عمالة ي حسراه فما بالك بفئة مهمشة في المدينة......
",الأحد 01 شتنبر 2019 - 15:32,<strong>mostfa</strong>
"
ياسلام على بلادي
وهذا فيض من غيض
ألى الامام يا أيها المغرب الجميل
نحمد الله ونشكره على نعمة المغرب
",الأحد 01 شتنبر 2019 - 04:52,
"
مبادرات معزولة لا تسمن ولا تغني من جوع...هذا لا يمنع ان المبادرة تاخذ صفة الرمزية واشارة لمن يهمهم الامر بضرورة الاهتمام بالمدينة ..هذا الشخص قدوة لباقي السكان ...وعليهم ان يقتدوا به لجعل مدينتهم في مستوى لائق.هنيئا له على صبره وتضحيته. والحقيقة ان القيام بخدمة المجتمع اصبح امرا نادرا لا يكاد يذكر.والكل يعتمد على ما تقوم به الدولة.وهذا اعتبره من النقائص التي يتميز بها المجتمع المدني والمجتمع المغربي ككل.
",الأحد 01 شتنبر 2019 - 05:31,
"
البهاليل بإقليم صفرو جميلة حقا ومايحز في النفس هو أن أمريكي من واشنطن بوست يبدي إعجابه بالقرية ونحن لانعير اهتماما لجمال مدننا وقرانا ثم تحية خاصة لابن المنطقة الذي عاد إلى بلدته للمساهمة في التربية على حماية البيئة وإذكاء روح المواطنة والتسامح والمحبة في نفوس أبناء بلدته. فهلا طرحنا السؤال على أنفستا ماذا قدمنا لحينا ولقريتنا ولمدينتنا ولوطننا?????
",الأحد 01 شتنبر 2019 - 06:40,<strong>said</strong>
"
بينما السياسيين المغاربة و أصحاب القرار و السلطة و البرلمان و المستشارين و الوزراء و من يستفيدون من الثروة و الفوسفاط و البر و البحر و الجو و يقتسمون الكعكة لا يعرفون أبدا هذا الاسم ...

بحيث يكتفون و يعتكفون في المكاتب المكيفة و السيارات الفارهة المكيفة و الفيلات الرقية و القصور بين الرباط و المكاتب وجلسات الصفقات أو العطل الخاصة الدائمة خارج المملكة طوال السنة
",الأحد 01 شتنبر 2019 - 08:41,
"
يا ليتنا كلنا كمال الشاوي ! انه رجل مثقف حركي ونشيط يطبق مهاراته على الوجه الصحيح فيما يتعلق في الجانب البئي والتشاركي رجل طيب ولطيف يا ليث لنا في كل درب وشارع وحي في مدننا مثل هذا الرجل المصلح الغيور على وطنه قال تعالى: وقل اعملوا فسيرى الله عملكم ورسوله والمومنون صدق الله العظيم.
",الأحد 01 شتنبر 2019 - 08:46,<strong>ابو هند </strong>
"
السياسيون المغاربة والشعوب المتقدمة تضحك علينا.
هاذ الأمريكيتين جامي شافو الفقر. التخلف الذي عندنا. و أو كيف تحن نتجه نحو الخراب وبذلك يضحكون علينا
",الأحد 01 شتنبر 2019 - 10:02,
"
هذا الثناء يمكن أن يصبح نقمة على هذه المنطقة. فربما المقال سيخدم المكان اقتصاديا بلفت الانظار اليه لأن سائح غربي تكلم عليه بالخير لكن إشهاره بهذه الطريقة يمكن أن يتسبب في اكتضاضه بكل من دب وهب ونحن نعلم أن كثير من مدننا أصبحت وكرا للاثم والمبيقات بجميع انواعها....وستظهر اشياء اخرى وبعدما نتمنى ظهور القمامة لتعود المدينة إلى طبيعتها...
",الأحد 01 شتنبر 2019 - 10:08,
"
كمال الشاوي مهاجر مغربي بالمانيا بطبيعة الحال فالغربة متعلم و يعرف بين الصح و الخطأ تعلم الصبر والمعاملة والنظافة سواء في البيت او خارجه لنقارن بين متعلم في المغرب و مهاجر متعلم هناك فرق 80% و ما يقوم به كمال هو واجب وطني و حس وطني واجب على اي واحد ليس من الضروري ان نبدي الصورة الجميلةسيوى امام ضيوفنا بل يجب ان نحافظ على مغربنا نظيف لا ننتظر اي شئ من الحكومة النائمة في سباتها و.....
",الأحد 01 شتنبر 2019 - 11:00,<strong>مغترب مغربي </strong>
"
 نعم البهاليل والمنطقة وكل بلاد الله جميلة ثم ماذا بعد .. نحن في القرن الواحد والعشرين.. والناس لا تزال تعيش الفقر والعوز وقلة الصحة والازبال والذل والهوان.. لا طرق ولا ادارة ولا امل ..و..لا.. بل منهم من يعيش في الكهوف..في 2019...
",الأحد 01 شتنبر 2019 - 11:07,<strong>محمحد المغربي الامازيغي</strong>
"
المغرب عبر التاريخ كان ارضا للتعايش و كان قبلة لكل واحد مضطهد في بلاده و عاءلات سويدية استقرت مند قرون بالبهاليل و تصاهروا مع مغاربة بحيث تجد في المنطقة من هم طوال القامة و بعيون زرقاء
",الأحد 01 شتنبر 2019 - 12:08,<strong>ولد حميدو</strong>
"
اخي الكريم تعليق جميل ولكنك اخطٱت عندما عكست المعنى !
نقول غيض من فيض وليس العكس
",الأحد 01 شتنبر 2019 - 12:14,
"
الدولة خصها تنقى من المفسدين اولا الملايير تذهب إلى البنوك خارج المغرب فعندما تتحكم الدولة في الفساد وتفرض القانون سنرى النور في جميع اقطار المغرب مدنها وقراها كفى بيع الوهم المغرب أفضل بلد في العالم من ناحية المناخ فقط...
",الأحد 01 شتنبر 2019 - 12:18,
"
كلما بلغني صيت أحد المغاربة من طينة كمال الشاوي إلا و افتخرت بمغربيتي ،و في هذا السياق أقترح على النكرة و هم كثر في بلدنا الحبيب سعد الدين العثماني أن يتصل بالفضل كمال الشاوي ليعطيه هو و وزبانيته و على رأسهم سيدهم الذي علمهم السحر دروسا في القيم الفاضلة و المواطنة الحقة- بفتح الطاء- .
فما أحوج يا وطني لمثل هذا الرجل ففي وطني الرجال نادرون لكن الدكتور كما يقول المثل المصري-على قفى من يشيل- بالأشياء الثمينة نادرة و البخسة كثيرة و رائحة نتانتها تزكم الأنوف.
أنصح مسؤولي جمعيات المجتمع المدني ،هذه الجمعيات التي تناسلت و تتناسل كالفطر أن يجدوا الرحال لقرية البهائية لأحد دروس ما أحوجهم لها.
",الأحد 01 شتنبر 2019 - 13:28,
"
فعلا إنها البهاليل رووووووعة بهاء الليل
",الأحد 01 شتنبر 2019 - 13:30,<strong>abderrahim</strong>
"
علي المسؤولين من اجل ان يحاربوا الضواهر المشينة بالبلاد ان يقوموا بمحاربة مسبباته ومن اهمها سوء التربية الأسرية والجهل وانتشار المخدرات الذين يشكلان احد اهم الشرور التي جعلت البلاد في تخلف مزمن وعائق جوهري في تقدم البلاد والعباد.
",الأحد 01 شتنبر 2019 - 14:51,
"
الى رقم 10 : عاءلات لهم أصول سويدية . العلم في تقدم التحليل الجيني ADN هو الذي سيوضح ان كانت لهم أصول ريفية بمعنى امازيغية او سويدية او رومانية او عربية .....اما عهد عن ابي هريرة عن … عن … قد ولى و انفضح امرهم
",الأحد 01 شتنبر 2019 - 15:02,<strong>Anir </strong>
"
... تخص قرية البهاليل الكائنة في ضاحية مدينة صفرو.
في عهد الجهاد البحري استولى القراصنة السلاويين على سفينة سويدية وقاموا بترحيل الاسر السويدية التي كانت على متنها الى البهاليل.
ولهذا تجد بعض احفادهم هناك كثير الشبه بالجنس السويدي.
",الأحد 01 شتنبر 2019 - 15:36,<strong>هناك قصة طريفة ...</strong>
"
شكرا هسبريس على هذا المقال المتميز الذي يسلط الضوء على قرية البهاليل. لكن حذاري يا مغاربة من المعلق المسمى سعيد رقم 6 انه جزايري هدفه التقليل من شأن الدولة المغربية و التحريض
",الأحد 01 شتنبر 2019 - 16:28,<strong>صفريوي</strong>
"
أومن دائمآ ودائما أنه بعصرنآ هذا وبالمستقبل أ ن المواطن هو من سيغير عقليات السياسيين وخصوصا عقلية المخزن عندنا بالمغرب. لا تنتظروا التغيير الأفقي للخروج من التخلف . فالشعوب التي تخلق النهظة تعتمد على طاقاتها الداتية وتحقق تغييرآ عموديا. هدا المواطن لوحده غير قرية لوحده فكيف إن إتحد معه شباب القرية كلهم. عندما تتحد القوى لا ققوة أخرى توقفا وهذا هو المغزى لشبابنا. لآ تعولوا على عقلية المخزن فلييس في جعبته مآ يقددمه لكم
",الأحد 01 شتنبر 2019 - 18:46,<strong>abdou/canada</strong>
"
هي فعلا جميلة جدا وهادئة، ومن لم يزر هذه المدينة الصغيرة (لأنها ليست قرية كما يقال) فإنه لم ير شيئا في حياته. لقد زرتها منذ خمس أو ستة سنين على فترات قصيرة. فعلا جميلة
",الأحد 01 شتنبر 2019 - 20:40,
"
هذه شهادة أمريكية في حق جمالية بلادنا زيارة لقرية تترك وقعا طيبا في نفس الزوار الامريكيين تصورا لو كانت هذه القرى ذات طريق معبدة واماكن مبيت مغربية تراتيه أصيلة ونظافة وامن ومرشد سياحي ابن المنطقة القرية ستزدهر والسايح سيعود لا محالة وتبتكبر افكار اخرى تخدم سياحتنا وساكنتنا في كل جهات الوطن
",الأحد 01 شتنبر 2019 - 22:08,<strong>محمد بنحده</strong>
"
الكهوف فيها وفيها فيها من يأوي البهائم وأخري أصبحت على شكل رياض الإستقلال السياح والأجانب بالمقابل.
",الجمعة 20 شتنبر 2019 - 18:39,
"
هادي ما تكون غير الطوبة عضت لهم السلوكة 
فوقغ ما وقع
",الأحد 01 شتنبر 2019 - 10:56,<strong>المهدي</strong>
"
المفرقعات ذبحت احد الاشخاص بالدار البيضاء وقتلته
لازلت اتذكر هاذا الحدث الاليم 
لماذا لايستعمل المسؤولون هذا الحدث الاليم لنوعية الناس وردع كل مستعملي وبائعي المفرقعات
",الأحد 01 شتنبر 2019 - 06:37,
"
ما علاقة مفرقعات والمياه وضرب البعض العادات العبث والجاهلية الذكرى عاشرواء العظيمة مباركة عند الله كل الأديان السماوية ذكرى إنقاذ قوم النبي موسى وبني الاسراءيل من فرعون نجاهم الله في هذا اليوم يقوم اليهود بالصيامه شكرا وحمدا الله كذلك من مستحاب المسلمين صيامه الاقتداء بالسنة الرسول الله صيام عاشوراء له الأجر والثواب المسلم من عند الله كذلك تتزامن ذكرى فاجعة المسلمين مقتل حفيد الرسول حسين رضي الله عنه والاصحابه في المعركة كربلاء على يد طغاة الأمويين والجيش يزيد …مقتل حفيد الرسول الله وابنته فاطمة ليس فاجعة الشيعة يجب أن تكون السنة ايضا هذا حفيد الرسول الله
",الأحد 01 شتنبر 2019 - 07:00,<strong>جلال</strong>
"
رجل امن متقاعد في عقدي السابع وسوف أتكلم كذلك مرة أخرى بالدارجة البارح يعني يوم السبت كنت بمدينة سيدي سليمان وخا هاد المدينة فيها غير السمية باقا اكثر من قرية كبيرة المهم لي اتار انتباهي هو هاد الظاهرة ديال المتفرقعات المين القنبول سميوه كيف ما بغتو سوق مفتوحة بجميع ارجاء المدينة ولي هو خطير البوليس بعيد من اماكن البيع بخمس الى عشرة امتار بل الأدهى هو انه هناك حي يوجد على بعد عشرون متر من الكوميسارية الكبيرة حلل و ناقش
",الأحد 01 شتنبر 2019 - 09:32,<strong>ابو وليد</strong>
"
فعل ان ااسلطة تحاول منع دخول هاده المفرقعات 
لاكن الغاءب عنها هوالمخزون والمتبقة من السنة اافارطة يخىرجونه للبيع ويباع خاصتا في المدون ااصغيرة مررت من سيدي سلمان الامس 
فرءية منضر هاد المفرقعات والاطفال يهرعون 
بهستيريا في الازقة ويتراشقون بهاده المفرقعات 
بالقرب من مقر البلادية ومقر الامن 
ولامن يردع
",الأحد 01 شتنبر 2019 - 09:39,<strong>عبدو</strong>
"
گل سنة ويتگرر نفس الشيء و المطالب هـاد المفرقعات من أين تأتي أگيد مگتنزلش مع تغيرات السماء گيف قال مولهـا وإنما هـي تدخل للبلد بفعل فاعل وبتغاضي جهـات معينة لأنهـا تجتاح أغلب المدن المغربية وشعب الخسارة راه تضييع فلوسو لزايدين فيه وبدا إشگي هـادشي لمدار شي عاهـة مستديمة من المسؤول ؟؟؟؟
",الأحد 01 شتنبر 2019 - 09:42,<strong>Hassan Sima</strong>
"
لماذا لا تريد السلطات ان تمنع بيع المفرقعات؟ هذا هو السؤال الذي لا جواب له. بإمكان السلطات ان تمنع بيع وشراء المفرقعات و القيام بدورات بتفتيش محلات البيع و كل من وقع في قبضة الأمن يؤدي ذعيرة مالية تكون من 3 مليون إلى 15 مليون حسب الكمية المحتجزة. إلى ضربتو البائعين في جيوبهم ستنخفض المبيعات. و لكن السلطات لا تريد ذلك إما لعجزها او تواطءها او نومها.
",الأحد 01 شتنبر 2019 - 09:45,<strong>شعب وتجار فريدين من نوعهم</strong>
"
ماشي غير سيدي سليمان. المغرب كامل...
",الأحد 01 شتنبر 2019 - 10:11,<strong>خالد</strong>
"
هدي هي فيق. لحمق.لضريب.لحجر...متل مغربي.
",الأحد 01 شتنبر 2019 - 10:17,
"
استطاع الأمويون ومن على نهجهم وملتهم بصرف الأنظار عن واقعة الطف بأحاديث مكذوبة أنه يوم نجى فيه الله موسى طبقاً لصيام اليهود كما وجدهم في المدينة حسب زعمهم ولئن أبقاه الله يصم التاسع والعاشر. أكذوبة تاريخية وأحاديث متناقضة فلايوم وافق عيد كيبور اليهودي وهو يوم شمسي قمري ولا صامه الرسول صلى الله عليه وآله اقتداءا باليهود. يقولون قدم رسول المدينة فوجد اليهود ... ثم يقولون لئن أبقاني الله حيا سأصوم تاسوعاء وعاشوراء إلا أن النبي رحل فلم يفعل. كيف ذلك والنبي عاش عشر سنين في المدينة؟
ثم إن الروايات معظمها عن معاوية الطاغي. 
ثم إن الأحناف العجم يعتقدون بيوم نجى فيه نوحاً. 
اتقوا الله في محمد وآله. فالأحاديث المعتبرة حكت واقعا مؤلما سيحدث لسبط رسول الله { يَسْأَلُونَكَ عَنِ الشَّهْرِ الْحَرَامِ قِتَالٍ فِيهِ قُلْ قِتَالٌ فِيهِ كَبِيرٌ وَصَدٌّ عَنْ سَبِيلِ اللَّهِ وَكُفْرٌ بِهِ وَالْمَسْجِدِ الْحَرَامِ وَإِخْرَاجُ أَهْلِهِ مِنْهُ أَكْبَرُ عِنْدَ اللَّهِ وَالْفِتْنَةُ أَكْبَرُ مِنَ الْقَتْل }
هذه السنن مأخوذة من كعب الأحبار وغيره ممن ألفوا القصص لصرف الأنظار عن قضية كتب الله لها البقاء رغم الداء والأعداء.
",الأحد 01 شتنبر 2019 - 10:22,
"
ما فائدة المفرقعات؟ فقط زرع الخوف والرعب وفي بعض الأحيان إصابة بعض الأشخاص الأبرياء بجروح خطيرة أوعاهات مستديمة كفقدان البصر بصفة نهائية. يجب التعامل مع تجار المفرقعات كتجار المخدرات وحبوب الهلوسة.
",الأحد 01 شتنبر 2019 - 10:37,
"
كم اشتقنا الى هذه الالعاب والمفرقعات. كانت في الزمن الجميل ولا احد يتدخل في لعب الاطغال . لعبنا بمفرقعات مختلفة ومسدسات تملا با""لفرشي"" ولعبنا بالكربون.....ولا شيء يحدث لماذا يخلقون الرعب في الاطفال. وحررناالصحراء بهاذ التخويف!
",الأحد 01 شتنبر 2019 - 10:46,
"
منبع المفرقعات معروف للكل هو الصين والمستوردين معروفين في درب عمر بالدار اابيضاء والبضاعة تدخل من ميناء الدار البيضاء او من ميناء طنجة والمستفيدين زمرة من الفاسدين والمتضررين غالبية الشعب والسيناريو يتكرر كل سنة والحال يبقى كما هو ولا فاءدة من التعليقات لانها لن تغير من الامر شيء
",الأحد 01 شتنبر 2019 - 10:47,
"
هاده الدولة نائمة و الشعب هو الدي يؤدي. عند مرور موكب الأسرة الملكية تطهر الدنيا بما فيها و الحراسة و لا أحد يستطيع التحرك . هاده السنة سافرنا الى المغرب و آلله العظيم قتلونا الشمكرية بمدينة الرباط تحديدا حي يعقوب المنصور الكرديانات يعملون كالشرطة . أين هي السلطات لديكم باعة الحشيش باعة الرصيف الفوضى . أصبحنا لا نأمن على املاكنا. الشرطة في دائرة يعقوب المنصور لا تلبي النداء.
",الأحد 01 شتنبر 2019 - 10:54,
"
يجب على السلطات منع هذه المفرقعات الخطيرة التي يستعملها السفهاء واللصوص والشمكارة لتنغيص حياة المواطنين في عاشوراء كم من الارواح ازهقت بسسب هاته الافة الخطيرة.
",الأحد 01 شتنبر 2019 - 11:03,<strong>عبد الله</strong>
"
دليل اخر على تخلف المجتمع وتقاعس بل وغياب الدولة تماما عن الاهتمام بالمواطنين فكيق يعقل ان يستعمل المراهقين والاطفال لهذه المفرقعات بالشوارع يرعبون بها الناس وخصوصا الشيوخ والنساء والحوامل منهم فالمراة الحامل ان تعرضت لفرقعة فسوف العواقب وخيمة عليه وحتى الاطفال الصغار بربكم هل نحن مجتمع انساني ان مجتمعاتنا جاهلة وفوضوية هذا مؤكد ولكن اين الدولة من كل هذا واين مسؤولياتها في تنظيم هذا المجتمع ام انها جزء لا يتجزا من هذا المجتمع وتحمل نفس افكاره وتنظر الى الفوضى كانها شيء عادي صحيح ان فاقد الشيء لا يعطيه
",الأحد 01 شتنبر 2019 - 12:33,<strong>ملاحظ</strong>
"
اقول بصراحة ظاهرة المتفجرات 7 ايام وتختفي أما الكارثه العظمى هي المخدرات والله العضيم ان حي اجبييرات الواد أصبح مثل كولومبيا يباع الحشيش بالعلن ومباركة رجال الأمن حتى أن بعضهم يأتي يشتري منهم. لقد احتلوا هذا الحي لم تعد الساكنة تنعم السلام لا باليل ولا بالنهار. نرجو من ولاية الأمن بالقنيطرة التدخل في القريب العاجل. لقد بدئ بعد الساكنة بتعليق لافتات (منزل للبيع) للهروب من بطش وجبروت مروجي المخذرات
",الأحد 01 شتنبر 2019 - 12:33,
"
نفس الموال عبر السنين ، و تتطور المفرقعات عبر السنين .. و تكتب الصحافة ، و تذاع اخبار المخاطر و الضحايا عبر وسائل الاعلام .. و يبقى السؤال : اين البديل ، أين الحلول ؟؟؟
",الأحد 01 شتنبر 2019 - 15:20,
"
لو اراد حكام هذا البلد ان يمنعوا الاكسيجين على المواطن لمنعوه. فما بالك بالثفاهات. انت وانا والكل عبيدا و سوف نظل عبيدا الى يوم نبعثون.
",الأحد 01 شتنبر 2019 - 15:24,<strong>وندجو</strong>
"
كلنا نتدكر الحادث الأليم الذي ذهب ضحيته الشاب وليد شاب في مقتبل العمر توفي اثر إصابته بفيزي من طرف شخص كان يلعب بالمفرقعات أتساءل ما هو إحساس هذه الأم أو هذا الأب الذي منح هذا الإبن نقوذا كانت سببا في وفاة شخص بريء الذنب الكبير على الآباء الدين يبنون سعادة أبناءهم على تعاسة أشخاص آخرين فبعض الآباء يشترون بأنفسهم المفرقعات و يمنحونه لأطفالهم و ربما تكون هذه المفرقعات سببا في إصابة يده أو عينه قبل إصابة شخص آخر لدى أنصح الآباء بمراقبة أبناءهم خصوصا في هذة الأيام المباركة فهي أيام للتعبد و ليست للعب بالمفرقعات فهذه كلها بدع يجب الإبتعاد عنها
",الأحد 01 شتنبر 2019 - 15:26,<strong>أم طه</strong>
