الأحد 22 دجنبر 2019 - 08:17,محمد ال الشيخ,اقترح على الجهة الشرقية تنظيم مهرجان الفقراء و مشركتنا باف درهم حتى نغني الف فقير.
الأحد 22 دجنبر 2019 - 14:21,Freethinker,كل واحد يشوف مصلحة بلادو فين كاينة. العواطف والسذاجة ما خدامينش فعالم السياسة. لي خدام هو اعطيني نعطيك والقوي يحقر على الضعيف ويفرض عليه شروطو، أما غير داكشي راه شعارات فارغة كيترزقو بها ناس فاشلين.
الأحد 22 دجنبر 2019 - 14:31,نصراوي,وأين المشكل . اسرائيل تزود إخوانها بالغاز الطبيعي
الأحد 22 دجنبر 2019 - 14:55,قل لي من تعاشر اقل لك من انت,ليس غريب من مصر ان يستورد من أسرائيل. . لكن اﻻغرب هو تشديد الخناق على سكان غزة !!
الأحد 22 دجنبر 2019 - 14:55,ملاحظ مغربي وافعي,"وحتى لنفرد مثلا ان اسراءيل قاطعتها كل الدول العربية والاسلامية ماذا يفيد ذلك وماهو المشكل اذا كانت اسراءيل اليوم دولة قاءمة الذات ولها مقعد في الامم المتحدة ويتعامل معها كل الدول الوازنة في العالم ديبلوماسيا واقتصاديا مثل اليابان والصين وروسيا وامريكا وأستراليا وكل الدول الاروبية بدون استثناء ؟
اكثر من هذا اسراءيل دولة تعترف بها جل دول العالم بمن فيهم حتى العديد من الدول الاسلامية والعربية المهمة مثل ماليزيا وإندونسيا وتركيا ومصر والأردن وغيرهم ..
بنيامين نتانياهو رءيس وزراء اسراءيل اصبح يزور اليوم حتى دول عربية ويستقبل بالترحيب والتكريم كما وقع مؤخرا في سلطنة عمان.
رياضيي اسراءيل كذلك اصبح يشاركون في التظاهرات الرياضية التي تقام في الدول العربية والاسلامية كما هو معروف 

لنكن واقعيين ادن فاسراءيل اليوم اصبحت واقعا معاشا احب من احب وكره من كره.."
الأحد 22 دجنبر 2019 - 15:03,amaghrabi,"انا مع المعلقين السابقين ,يجب على الدول العربية ان تفتح صفحة جديدة مع الدولة الإسرائيلية سياسيا واقتصاديا وثقافيا وفي نفس الوقت تتابع قضية إخواننا الفلسطينيين في الأمم المتحدة والمحافل الدولية,اليوم هناك محكمة عالمية لها وسائلها ولها قضاتها يبحثون عن الحقوق للشعوب المظلومة والتي اغتصبت أراضيهم .ويجب على إخواننا الفلسطينيين وخاصة منظمة حماس الإرهابية ان تكف عن قذف إسرائيل بالصواريخ لان ذلك يزيد الامر تعقيدا ويزيد في بؤس الشعب الفلسطيني الفقير الذي هو ضحية السياسة العربية السابقة وسياسة زعمائهم الكرطونيين.فتح العلاقات الطبيعية مع إسرائيل ومحكمة العدل تجد حلا عادلا للقضية الفلسطينية.اما العناد كما يفعل حكام الجزائر معنا فلا يؤدي الى حل وأقول هذا حتى لحكام المغرب مثلا مع اسبانيا التي ترى ان لها حقا في البحار المحيطة بسبتة ومليلية والجزر الكنارية ووو فهي من حقها ان تقول ذلك والذي يفصل بيننا وبينهم هي المحكمة الدولية وكيفما كان الحكم فلا مجال للحروب وهي ضياع للوقت والاعصاب والضحايا وووو"
الأحد 22 دجنبر 2019 - 15:14,محمد بن الطالب,مبروك لي نتنياهو ودونالد ترابب واصلو إلى مبتاغهم.
الأحد 22 دجنبر 2019 - 16:08,البيضاوي.,"ردا على الاخ الدي عنون تعليقه ""نصراوي"" رقم 2
مصر ياسيدي دولة مهمة جدا في المنطقة العربية وفي القارة الافريقية ،ودولة عريقة صاحبة تاريخ وحضارة كما هو معروف، بالاضافة ان مصر دولة مستقلة وهي حرة بالطبع في قراراتها السياسية ومن حقها ان تتعامل مع اي دولة في العالم تراها فيها مصلحة لبلدها وشعبها؟
اكثر من هذا شعب مصر ليس بشعب قاصر وتعداده اليوم 100 مليون نسمة وهو يعرف مصلحة بلده جيدا، وهو الوحيد الدي له الحق ان يعارض حكومته ان اخطات وليس بعض المتطفلين..

هل نسيت ان الشعب المصر ي هو الشعب العربي الواحد الدي قد قام بثورتين في الربيع العربي..
ثورة 25 يناير عندما أزاح حسني مبارك من الحكم،، ثم كذلك قام بثورة تصحيحية يوم 30 يونيو ضد الاخوان ومرسي العياط وازاحهم من الحكم عندما أرادوا ان يسرقوا ثورة شباب مصر الاولى..
مايجب ان تعرفه ايضا ان مصر اكثر دولة عربية خاضت حروبا مع اسراءيل وقدمت شهداء بالالاف لم تقدمهم ابة دولة عربية اخرى او اسلامية؟"
السبت 21 دجنبر 2019 - 17:34,عبد الحق,"مع الاسف الشديد لن و لم ينجح أي شيء على الإطلاق في المستقبل القريب أو البعيد لأنه و بكل بساطة لا وجود للعدل و هنا مربط الفرس 
بما أن السيد يقول كلام أنه تم مقايضته من طرف الحزب الدي كان ينتمي إليه و بحضور وزير من نفس الحزب و العرض الدي قدم له أن يكون سفير....
لو كانت دولة ديمقراطية حقيقية و عادلة من طبيعية يجب إعتقال الوزير وووو
الفشل هو مصيرنا حتى يرث الله الأرض و ما عليها 
الفساد هو سيد الموقف في المغرب خلاصة القول"
السبت 21 دجنبر 2019 - 17:40,jamal,بوعيدة عائلة برجوازية ساندت الشعب في كفاحه. من الطبيعي ان يكون اول رئيس جهة يتم عزله لأنه رفض ان يكون بيدق بيد وزارة الداخلية
السبت 21 دجنبر 2019 - 17:43,ابوزيد,"وأخيرا نطق واحد من أهلها. الأمور واضحة الآن. 
100 مدينة في 100 يوم .وزيارات للجالية بالخارج فمن الممول؟ قال ليك أغراس اغراس."
السبت 21 دجنبر 2019 - 08:54,متابعة,الله يحفظ بلادنا من كل شر وتحية لرجال الشرطة
السبت 21 دجنبر 2019 - 12:38,khalid,بقدر ما يفرح ويسر البعض بحلول رأس السنة بقدر ما يحزن البعظ الآخر ويتألم بسبب ما يحدث فيها مما يغضب الله. مع العلم أنه ليس للمسلم إلا عيدين عيد الفطر وعيد الاضحى.
السبت 21 دجنبر 2019 - 12:44,الأصييييل,صدق رسول الله، شِبرًا بشِبر وذراعًا بذراع....لا حول ولا قوة إلا بالله ...ماهذا الهوان ؟ هل إنحطت قِيَمنا إلى هذا المستوى ؟ ...ويقولون عن عيد المولد النبوي بدعة وشرك..
السبت 21 دجنبر 2019 - 12:56,البيضاوي,"ستتحول المدن الكبرى للمغرب كالعادة مثل مدن اروبا وامريكا والصين واليابان حيث المطاعم والفنادق والملاهي الليلة والخمارات مملوءة عن اخرها..
ومن لم يحجز مقعده قبل راس السنة لن يجد مقعدا شاغرا.."
السبت 21 دجنبر 2019 - 18:17,ABDOU_de_CASA,"ردا على السيد الدي عنون تعليقه: khalid

منذ عقود طويـــــلة وأنتم تحاولون منع الناس من الإحتفال برأس السنة لكن لسوء حظكم الغـالبية الساحقة من المغاربة لا يهتمون بما تقولون ولا يكثرت لكم أصلا؟ 
للأسف بعض المنغلقين والمتشددين والمتزمتين كل سنة يسمعوننا تلك الأسطوانة المشروخة عندهم التي تحرم الإحتفال برأس السنة مع العلم أنه لا يوجد في القرآن ولا في السنة من ما يحرم الإحتفال، يأتون بآيات خارج السياق لكي يقنعونا به.."
السبت 21 دجنبر 2019 - 19:02,amaghrabi,"صراحة استاذي إبراهيم المحترم انا مع صفقة القرن قلبا وقالبا لانها في نظري هي الوسيلة الوحيدة والناجعة التي تفك هذه الحريرة التي ازكمت انوفنا منذ زمن طويل بالروائح الكريهة,فلا سلم ولا حرب ,والعرب أصحاب قضية وفي الحقيقة ليست قضيتهم وحدهم ولكنهم يدعون انهم قضيتهم حتى أصبحت شعوبنا العربية تتبنى هذه القضية اكثر مما تتبنى قضية اوطانهم.حماس لا تريد سلما ولا تستطيع حربا والضفة تريد سلما في جهتها وبالتالي فحتى غزة والضفة من المستحيل ان يجتمعا,اذا استقلت فلسطين اليوم فغدا تطلب غزة الانفصال,فحماس في غزة عنصر إرهابي تستغله العناصر الخارجية بالاموال من اجل بقاء المنطقة في توتر دائم.اليوم العالم فهم والدول العربية فهمت,وخطة القرن باركتها الدول العربية قبل الدول الغربية وانهم ينتظرون متى يبدأ ترامب بتطبيق خطته"
السبت 21 دجنبر 2019 - 18:21,مكلخ مغربي قح,.الي كان المغرب يبسط سيطرته برا وبحرا.فليكن حازما مع اسبانيا كذلك لان الاسبان خذاو لنا سبتة ومليلية والجزر الجعفرية.
السبت 21 دجنبر 2019 - 21:43,سنة3009,لم افهم كيف لشعب يدعي بانهم سكان المغرب الاقدمون بدون حضارة وكتب ومآثر تاريخية تدل على أنهم اصلا سكان المغرب. والحقيقة أنهم نزحوا و إحتلوا واستوطنوا ارضا لشعب أفريقي كما تدل على دالك الحفريات.
السبت 21 دجنبر 2019 - 21:44,رافض للمغالطات,من فظلكم أريد إجابة على هذا لسؤال:هل جاء في الدستور إشارة الى التأريخ بالأمازيغية و الإحتفال برأس السنة؟ وهل للأمازيغية أشهر يؤرخ بها؟ ثم ان الأحزاب الفاشلة التي تدعو الى مثل هذه الأمور وتتقمص صفة النظال وكان المغاربة يرفضون الامازيغية نقول لهم فإن ذلك ليس إلا در للرماد في العيون...فالاولى ان يتجهوا الى العمل على تنمية المناطق الهشة بالأطلس وأعالى الجبال والرفع من مستوى الخدمات والبنية التحتية والتعليم والصحة ... اما الامازيغية فهي جزء من تقافة الشعب وحضارته.
السبت 21 دجنبر 2019 - 21:48,mhamad,السلام عليكم جميع الاحزاب المغربية همهم الوحيد جمع الاصوات اما السنة الامازيغية او عطلة يكفى هده العطال المرسمة فى التقويم المغربي لا توجد دولة فى العالم لها عدة عطال فى المرسوم متل المغرب
السبت 21 دجنبر 2019 - 21:17,كيم جون ان,كيم جون ان رجل عظيم لهو شخصية قوية احب هدا القاءد لايخشا الدول الكبرى
السبت 21 دجنبر 2019 - 21:52,hamid Gouif,وهاد الساعة لي غادي يدوز ترامب هي أكفس ساعة في حياته
الأحد 22 دجنبر 2019 - 14:05,حداوي مغربي مغربي,انا احد *ضحايا *نزع الملكية....حكمت المحكمة الإدارية بتعويض احتياطي منذ سنة 2016 و مازلت انتظر رغم سلوكي مسطرة الحصول عليه......و بما انه تم اعتماد المادة تسعة (9) المشؤومة فمتى ساحصل على التعويض المستحق؟اهكذ يتم تنزيل مضامين الخطاب الملكي بتاريخ 14اكتوبر 2016 الذي ألقاه جلالته أمام البرلمان حيث تناول في إحدى فقراته موضوع نزع الملكية و ما يعانيه المواطن للحصول على مستحقاته ......أين هي دولة الحق و القانون؟فعوض أن تبحث الحكومة عن أسباب تماطل الإدارة و الجماعات في تنفيذ الأحكام....اتجهت الحكومة إلى اسهل طريق و هو اتجرجير المواطن....ربي ياخد فيكم الحق
الجمعة 20 دجنبر 2019 - 19:17,عبدالله,اذا أسندت الأمور لغير أهلها فانتظر الساعة
الجمعة 20 دجنبر 2019 - 19:18,ولد البلاد,الله الله ما حدها تقاقي و هي تزيد في البيض....أنا سيدي باغي التيقار...ما غاديش نتزوج...نبقى حر ديال راسي ......من كل بستان زهرة و مرتاح مع راسي.....
الجمعة 20 دجنبر 2019 - 19:19,N.H,صافي دبا كملات لي بغات لخدمة في رجلها تهمو(بالإغتصاب ههههه)تسيفطو لحبس و تخرج دير طريطوار لفاهم يفهم لي باقي كيفكز يتزوج من المغربيات كيقلب على الحبس و المشاكل التي لا حدود لها
الخميس 19 دجنبر 2019 - 09:50,larbi el mahdar,great like the titan Atlas higher than Atlas.thanks brother for this.
الأحد 22 دجنبر 2019 - 07:57,ملالي,هذه نتيجة البناء العشوائي الذي اسهمت فيه و بشكل كبير الحملات الانتخابية كيف يمكن ربط هذا الحي بشبكة التطهير و هو لا يتوفر علة شوارع مهيكلة ازقة جد ضيقة و متداخلة
الأحد 22 دجنبر 2019 - 09:24,Amir,"اكفس من بوركينافاصو. 
واضح ان هذا الشعب صابر بزاف. لكن كما يقال للصبر حدود. وحينئذ سيكون هناك موعد حاسم مع من ليس فيهم ذره واحده من الحياء."
الأحد 22 دجنبر 2019 - 10:30,Zakaria J,"اذا وكلت المسؤلية لمن ليس مؤهلا لها او اذا ترامى من هب ونب الى تحمل مناصب ليس هو اهلا لها قلا تستغرب.
فقط غير اسم العيايطة و ضع اسم اي مدينة او قرية او جماعة مغربية فسوف تجد نفس الصور. لايرجع هاذا الى الموارد المالية بل لإنعدام الضمير و بشع المسؤلين و جهل الكثير و صمت العاقلين و عدم كفاءة بعض المهندشين والأطر و قلة التخطيط و غياب المراقبة و محاسبة المفلسين"
الخميس 19 دجنبر 2019 - 11:27,المتتبع,هولاء المنتمون الي حزب الحمامة يظنون ان الشعب ابله او ان ناخبي 2016 هم ناخبي 2021 كل من شغل منصبا غي الحكومات من 2011 الي 2021 سييال عما قدمه المسوولية والمحاسبة حزب الحمامة كان موجودا خلال العشتربة بالحكومة ولم يقدم شييا اذا باي باي احمادي
الخميس 19 دجنبر 2019 - 11:27,احمد,التجمع الوطني للأحرار حزب يعمل من أجل المستقبل
الخميس 19 دجنبر 2019 - 11:28,حنان,كفاءات تجمعية تجتهد من أجل تظهير المجتمع من العدمية
الخميس 19 دجنبر 2019 - 11:29,موسى,النضال الحقيقي يقود إلى تحقيق تغيير في المجتمع
الخميس 19 دجنبر 2019 - 11:30,نسرين,التجمع الوطني للأحرار سيقول كلمته
الخميس 19 دجنبر 2019 - 11:32,automobiliste,LES PARTIS POLITIQUES. .ÉLU OU AUTRES NE REPRÉSENTENT QU'EUX-MÊMES. ...LEURS SEULS OBJECTIFS....GARNIR LEURS COMPTES BANCAIRES. ..FAIRE INSCRIRE LEURS ENFANTS DANS ÉCOLES/MISSIONS FRANÇAISES. ..CHERCHES À AVOIR DES PASSEPORTS ROUGES....FAIRE DES VOYAGES MENSUELS À L'ÉTRANGER ET ENFIN POUR SE FAIRE DIFFÉRENCIER DU CITOYEN ORDINAIRE. ...0 VOTES 100% BOYCOTE. .
الخميس 19 دجنبر 2019 - 11:42,القادري,سيدتي ، ما جعلني أفقد الثقة في الأحزاب وفي الشأن السياسي هو هذه ( الجرأة) التي تتحلين بها بالدفاع عن حزب قضى معظم عمره في الحكومات المتعاقبة وتقديمه لنا اليوم وكأن الرقي والتقدم والتنمية ستكون من إنجازه ، لنحتكم أولا للحصيلة من خلال الرتب التي يحتلها المغرب بين الأمم !!!! بل المرة الوحيدة التي لعبتم فيه دور المعارضة كان بأمر من المرحوم الحسن الثاني،وحتى هذا الدور لم تتقنوه !!!لذا التمس منك شيء من التواضع والحشمة
الخميس 19 دجنبر 2019 - 11:46,مختصر مفيد جدا! !,اﻻطفال والقاصر مكانهم المدرسة ، للتربية والتعليم والتكوين ، وليس ما يحدث في قبة البرلمان وما يتشدق به السياسيين من افكار سامة.
الخميس 19 دجنبر 2019 - 11:49,عبدالله,"أتمنى ظهور حزب جديد يحمل رمز ""الصقر شاهين "" ليفترس الحمامة ويكسر زجاجة المصباح وينمو عجلات الجرار ويذبل الوردة ويفزع الحصان الصغير ويشتت حبات السنبلة ويبعثر اوراق الكتاب."
الخميس 19 دجنبر 2019 - 11:55,أيوب المغربي,"عدمي وأفتخر...لأنني لم أشارك أبدا في مهازل انتخابية تسمح فقط لأصحابها نهب ثروات البلاد والترقي في السلم الإجتماعي هم وذويهم وعشيرتهم على حساب عرق الفقراء وخيرات وطنهم
انشر ولا تحظر...وعاش الشعب ولا عاش المتسلقون والمنافقون"
الخميس 19 دجنبر 2019 - 12:00,Aicha,"استعمال الاطفال في السياسة, اخترعته الاحزاب و التيارات المتطرفة, فمنها من ا ستعمل الاطفال و القاصرين في حمل السلاح و الكفاح المسلح و لا احد يحرك ساكنا. مثلا البوليساريو او ""المجاهدين الافغان"" اما ان تتحدث ام مع طفلها عن ما تفعله هي من عمل سياسي, فهو يعرف اصلا من البيت ان امه تعمل في السياسة و ربما تريد مرافقته و تقريبه اكثر و تعريفه على نوع عملها. على اي حزب التجمع الوطني للاحرار حزب معتدل و منفتح على العالم و وطني. هل يمكن مثلا اعتبار تلقين الاطفال حب الوطن و ترديد النشيد الوطني اقحاما للطفل في السياسة?! اذا ستكون كل بلدان العالم تقحم الطفل في السياسة."
الخميس 19 دجنبر 2019 - 12:01,حمزة الروداني,حزب التجمع الوطني للأحرار يستحق كل الاحترام و التقدير لأنه حزب وطني لا يزايد على أحد ودائما هو السباق للدفاع عن مصالح الوطن والمواطن
الخميس 19 دجنبر 2019 - 12:01,الهيبة,مادامت مصلحة الوطن تميز حزب التجمع الوطني للاحرار فهو اذن في الطريق السليم
الخميس 19 دجنبر 2019 - 12:02,عماد البغي,حزب التجمع الوطني للاحرار هو الحزب الوحيد الذي حدد عرضه السياسي المبني على التماسك الاجتماعي و المساواة و العدالة و الاجتماعية و أبرز بالتدقيق الاولويات الثلاث التي يجب العمل عليها
الخميس 19 دجنبر 2019 - 12:03,هشام هشام,الدينامية الجديدة التي راهن عليها الأحرار تتأكد يوما بعد يوم و النموذج التنموي المقترح من طرف الحزب دليل على أنه فعلا حزب عمل و ليس حزب الشفوي
الخميس 19 دجنبر 2019 - 12:03,محمد الامين,حزب التجمع الوطني للاحرار هو حزب قوي برجاله ونسائه ويعرف كيف يشتغل ولديه استراتيجية محكمة للقضاء على الفقر والبطالة فمزيدا من التوفيق لهذا الحزب
الخميس 19 دجنبر 2019 - 12:04,سهام التازي,هنيئا للمغاربة بحزب كبير هو التجمع الوطني للاحرار الذي ظل قريبا منا في جميع المواقع و يمارس دوره التأطيري للمناضلين و المناضلات و يسهر على تكوين نخب جديدة
الخميس 19 دجنبر 2019 - 12:05,تاروا,لا شك بأن حزب الحمامة هو البديل، فهو يحمل برنامجا يخدم المواطن المغربي ففي الوقت الذي عجزت فيه الأحزاب الأخرى عن تقديم الحلول والبديل هذا الحزب قدم مشروعا متكاملا على طاولة رئيس الحكومة ولم يتبقى سوى استحضار مصلحة الوطن قبل كل شيء من أجل العمل على تفعيل الافكار المقترحة على أرض الواقع
الخميس 19 دجنبر 2019 - 12:05,حسناء خنيفرة,الفعالية و الالتزام والوفاء شعارات ظل حزب التجمع الوطني للاحرار وفيا لها وقد اتبث ذلك بالافعال لا بالاقوال فقط
الخميس 19 دجنبر 2019 - 12:06,عثمان سايس,حزب التجمع الوطني للاحرار يؤكد فعلا أنه مدرسة تعطي الدروس في طرق الإشتغال التي تصب في مصلحة البلد بالدرجة الأولى
الخميس 19 دجنبر 2019 - 12:07,كمال الدين,اغاراس اغاراس ليس مجرد شعار فضفاض بل هو فلسفة و ممارسة يومية
الخميس 19 دجنبر 2019 - 12:09,الملاحظ,كل مغربي وطني و غيور وجه انتقادا إلى هؤلاء أشباه السياسيين و أنصاف المناضلين إلا و ردوا عليه بالعدمي و الانفصالي و التيئيسي و الأمي و الجاهل و المدوخ و جيعان و الفوضوي و........و في الأخير يتشدقون بتقبل رأي الأخر.........
الخميس 19 دجنبر 2019 - 12:10,Medo,مادامت مصلحة الوطن تميز حزب التجمع فهو في الطريق السليم ، نحن في امس الحاجة لمثل هاته الاحزاب الدينامية
الخميس 19 دجنبر 2019 - 12:11,Tasnim,حزب التجمع الوطني للأحرار كيمتلك طموحات كبيرة من أجل الرفع من مستوى المشاركة السياسية للمواطنين حتى يكون عند حسن ظنهم و ثقتهم و هادي مجرد إشاعة لا غير
الخميس 19 دجنبر 2019 - 12:12,Noha,اغراس اغراس ليس مجرد شعار فضفاض بل هو فلسفة و ممارسة يومية.
الخميس 19 دجنبر 2019 - 12:12,احمد,الحزب التجمع الوطني للاحرار حزب دو كفائة ويشهد له بالعمل والمعقول
الخميس 19 دجنبر 2019 - 12:12,Fat,اتمنى ان تكون باقي الاحزاب السياسية كحزب التجمع الوطني للاحرار.. دينامية لا تنقطع
الخميس 19 دجنبر 2019 - 12:13,كريمة,ديما اغراس اغراس التجمع مدرسة تحية للاخت الفاضلة
الخميس 19 دجنبر 2019 - 12:13,Wafa,المستقبل لحزب الكفاءات و الطاقات.. حزب يمارس الممارسة السياسية النظيفة، و يراهن على الجدية و المعقول.
الخميس 19 دجنبر 2019 - 12:14,Noura,حزب التجمع اليوم هو حزب طموح يعمل بجد وله افكار خلاقة تتماشى مع افكار جلالة الملك ومع طموحات الشعب المغربي.
الخميس 19 دجنبر 2019 - 12:15,رشيدة,تحية للمرأة التجمعية اينما كانت نساء شرفو بالحزب معقولات
الخميس 19 دجنبر 2019 - 12:15,Nawal,التجمع الوطني للأحرار يواصل المسار و يعمل بإستمرار من اجل ضمان حقوق المواطنين.
الخميس 19 دجنبر 2019 - 12:15,Naima,التجمع الوطني للاحرار حزب المستقبل، يناضل من اجل العيش الكريم لكل المغاربة.
الخميس 19 دجنبر 2019 - 12:16,Khadoj,حزب الأحرار هو الحزب المنقد لهذا البلد بالتوفيق له
الخميس 19 دجنبر 2019 - 12:16,حليم,التجمع الوطني للاحرار حسب قوي بكفائته وهياكله نساء ورجال
الخميس 19 دجنبر 2019 - 12:16,Khalid,حزب الأحرار بكل رجالاته الوطنيين سيواصل المسار رغم حقد الأغيار
الخميس 19 دجنبر 2019 - 12:16,Karim,حزب التجمع الوطني للاحرار مدرسة يصعب على الفاشلين فهم مناهج العمل و المعقول
الخميس 19 دجنبر 2019 - 12:17,Khawla,حزب التجمع الوطني للاحرار يختار القرب من المواطنين و العناية بقضاياهم الصحة و التعليم و التشغيل
الخميس 19 دجنبر 2019 - 12:17,كريمة,حزب الحمامة قدم الكتير وبين كفائته في جميع المجلات لامجال للمقارنة بينه وبين الاحزاب الاخرى
